alldata.treatment,alldata.replicate,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
control,1,-4.972,3.49,-3.43,6.977,-1.194,6.244,-4.713,2.574,4.149,-4.882,8.782,18.672,7.243,-2.218,-0.056,1.014,0.888,0
control,2,-15.67,6.673,-14.5,-3.497,10.8,12.82,7.194,-10.833,-4.013,-3.869,-3.665,-1.078,-3.998,1.604,0.084,-0.836,0.431,0
control,3,1.227,0.633,6.149,-0.969,2.618,-3.242,5.851,-4.026,21.199,-3.702,6.992,-3.448,-4.219,5.967,0.71,-3.275,-1.633,0
control,4,-14.992,-3.747,7.779,-24.265,-6.639,6.572,-5.443,7.936,1.408,3.693,-0.383,-0.392,0.63,-0.413,0.165,-0.691,-0.464,0
control,5,-5.495,5.588,-1.541,7.79,-2.443,1.378,-5.367,9.566,-6.2,-12.562,8.611,-14.046,2.4,1.203,-1.607,-1.208,-0.31,0
control,6,-10.549,5.712,1.748,9.789,-5.375,-1.699,8.672,6.086,7.322,1.592,-15.825,-2.561,8.068,-4.794,-1.352,0.271,0.258,0
low,1,9.222,-8.869,14.182,2.421,-4.475,8.935,16.941,-1.979,-9.038,3.815,6.314,0.349,3.271,0.522,-2.867,-1.907,-0.944,0
low,2,1.33,3.601,6.622,6.527,-12.9,2.814,-7.828,-5.363,-2.791,-0.769,-7.479,2.916,-6.211,13.22,-2.156,4.757,-0.202,0
low,3,-6.602,2.337,7.089,2.114,-2.478,-4.792,-9.046,-17.716,-0.454,5.74,4.572,-5.636,5.033,-8.964,0.056,2.437,-1.068,0
low,4,-12.701,-0.089,-2.091,-4.617,-0.451,-22.527,8.409,0.443,-7.998,-2.607,2.789,5.83,-2.548,2.459,-0.858,1.244,0.122,0
low,5,-6.904,3.614,-0.203,11.294,7.29,0.982,-2.525,8.698,-1.024,17.609,4.603,-0.652,-8.872,0.23,3.88,-0.797,1.045,0
low,6,3.574,-9.968,17.364,1.682,18.358,-0.997,-6.296,1.632,-2.466,-8.214,-7.781,3.118,-3.812,-3.764,-1.158,-0.833,0.47,0
high,1,13.82,6.821,-7.174,-4.8,-1.153,-1.401,-1.357,0.791,2.139,2.57,0.323,-0.422,-3.993,-4.324,-13.883,-0.995,8.109,0
high,2,10.812,5.949,-2.89,-1.379,-7.521,-2.454,-3.105,-2.736,-3.804,-1.582,-4.131,2.239,-0.789,-1.641,9.03,-13.4,1.836,0
high,3,10.907,1.069,-5.877,-4.84,12.103,-3.319,-3.731,0.533,-1.317,6.606,-1.567,-2.101,14.531,10.605,-0.101,0.223,-1.169,0
high,4,0.388,-34.088,-15.253,3.911,-4.941,-0.292,-2.454,-0.468,2.475,0.087,-1.209,-1.925,-1.029,-0.986,0.534,0.437,0.012,0
high,5,13.541,7.336,-7.22,-3.155,-1.002,0.022,0.196,3.124,-0.436,-0.222,-1.447,1.516,-4.657,-5.647,-1.571,2.78,-13.586,0
high,6,13.064,3.938,-0.753,-4.984,-0.597,0.954,4.604,1.738,0.85,-3.304,0.502,-2.378,-1.049,-3.06,11.148,10.78,6.203,0
