site,month,day,year,do,temp,ph,cond,chl,alk,turb,nh3,tn,no3,tp,srp
ARM,8,31,2009,9.8,20.6,7.7,68,5.1,28.3,0.7,6.5,520,2.4,16.9,8.2
ARM,6,23,2010,9.1,20.2,7.7,53,3.3,21.1,0.6,5.1,480,1.4,25.3,12.1
ARM,7,25,2011,8.6,21.2,7.7,55,9.2,22.3,0.9,20.6,520,9.6,23.6,9.5
ARM,7,15,2013,8.78,22.9,7.4,61.1,4.7,24.5,1.32,-0.4,430.2,0,15.7,2.1
BAGL,8,25,2008,9.6,12.6,7.1,11,0.9,4.6,2.5,7.8,93.3,5.6,16.1,3.2
BAGL,9,15,2010,10.3,9.7,7.2,15,5.7,6.5,0.2,8,7.6,1.3,7.5,3
BAGL,8,29,2011,12.2,5.7,6.8,10,0.2,3.7,0.2,-2.1,53,11.3,-1.1,3.1
BAGL,8,28,2012,10.7,8.2,7.1,12,0.5,5.1,0.3,4.8,112,12.2,7.8,5.8
BAGL,8,5,2013,9.74,11,7,12.6,0.1,5.3,0.124,-2.8,28.8,14.8,4.2,3.4
BAGU,8,19,2007,11.3,7.3,6.5,13,0.2,5.1,1.4,1.3,20.5,19.6,30.8,7.9
BAGU,8,25,2008,10.4,8.4,7,13,1,4.7,0.3,11.9,76.5,18.6,12.9,3.8
BAGU,9,15,2010,11.8,6.8,7.2,15,1.3,5.7,1,12.7,144,6.5,17.6,4.7
BAGU,8,29,2011,12.4,2.7,6.9,12,0.1,5,0.1,0.5,22,24.1,1,4.1
BAGU,8,5,2013,10.96,7.3,7,11.4,0.1,4.8,0.13,-3.8,38.4,24.5,5.2,6
BAK,8,31,2011,10.8,16.7,7.1,33,1.4,7.5,0.9,5.1,53,3.4,4.8,3.1
BAK,8,7,2013,8.93,23.6,7,34.2,0.2,5.3,1.03,-0.4,10.7,6.5,3.3,0.7
BEA,9,14,2009,6,19.8,7.3,127,66,55.5,30.6,5.4,1669,1,139,8.1
BEA,7,12,2010,3,21.1,7.1,104,8.6,43.7,4.3,1.9,658,2.8,37.2,7
BEA,7,27,2011,7.3,22.3,7.4,101,4.8,46.6,3.4,5,544,5.6,33.1,6.5
BEA,8,15,2012,5.2,22,7.1,99,5,45.7,4,4.9,597,7.1,59.7,5.9
BEA,6,26,2013,8.22,19.5,7.2,101.6,39.9,43.8,6.43,7.1,696.4,2.7,54.8,7.1
BEAR,8,21,2012,8.4,20.7,6.3,6,1,1,0.8,0.1,137,5.1,-0.5,1.9
BEAR,8,14,2013,8.05,21.1,6.4,5.7,1.8,1.5,0.522,-5,163.8,7.2,13.2,0.3
BIG,4,17,2007,10,11.4,7.1,81,7.5,25.6,5.2,11.6,599.5,344.3,20.3,4.9
BIG,8,22,2007,9.1,22,7.5,99,27.8,37.8,4.6,4.7,367.9,0.5,21.7,7.7
BIG,8,20,2008,8.1,21.9,7.9,102,16,38.9,4.3,6.4,416.9,4.7,22.5,3.4
BIG,5,21,2009,10.3,19.4,7.8,86,1.9,28.7,1.9,8.1,571.1,270,10.8,4.8
BIG,9,14,2009,9.6,19.9,8.5,102,21.3,38.3,5.4,6.4,567,4.5,26.5,12.6
BIG,7,12,2010,7.3,22.6,7.7,88,10.3,39.9,3.2,-0.9,390,0.2,22.1,6
BIG,7,27,2011,8.5,21.8,7.6,84,5.1,29.6,1.5,13.5,359,5.6,16.9,9.1
BIG,8,15,2012,8.8,23.4,7.7,79,4.7,34.8,1.8,2,258,7,15,7.5
BIG,6,26,2013,8.82,20,7.4,81.4,6.6,29.4,1.47,1.6,280.5,1.1,13.9,1.2
BUG,4,9,2007,11.4,12.1,7.2,120,9.6,48,7.4,12.5,886.9,346.2,55.1,10.7
BUG,8,15,2007,11.6,24.2,9.3,160,4.3,68.5,2,9.5,658.6,1.5,21.8,3.2
BUG,5,1,2008,10.6,11.3,7.7,139,12.4,56.8,7.5,7.3,717.2,237,51,9.5
BUG,8,18,2008,5.1,22.2,9.1,123,25.8,49.6,3.9,5,942,2.9,37.9,7.4
BUG,4,20,2009,10.2,14.8,8,138,44.4,54.9,27.5,20.6,983.9,109.8,87.8,9.1
BUG,8,18,2009,21.5,25.3,10.5,177,5.7,53,3.9,12.6,879,1.4,55.8,15.6
BUG,6,28,2010,8.5,18.9,7.8,137,3.8,60.1,2.1,6.2,528,2.4,30.2,7.9
BUG,6,27,2011,10.8,22,8,141,6,59.9,2.1,11.4,500,6.7,24.6,8.4
BUG,3,29,2012,11.4,8.7,7.4,116,7.2,42.4,9.2,0.8,1068,595,48.1,9.3
BUG,6,19,2012,8.6,17.5,7.5,150,2.8,62.2,3.9,61.2,613,121,50.8,17.2
BUG,6,19,2013,8.13,21.3,7.6,138.3,6.2,59.2,2.81,25.9,612.3,7.5,37.5,9.8
CAI,8,23,2007,9.5,20.2,7.8,59,6.1,17.9,0.7,9.2,691.1,430.1,12.8,3
CAI,4,17,2008,11.4,9.3,7.1,62,2.4,13.8,0.9,15,1421.3,1363.8,12.7,5.1
CAI,8,13,2008,8.3,21.5,8.2,63,2.7,18.3,0.7,4.3,830.4,561.6,3.1,7.1
CAI,5,26,2009,8.8,19.4,7.4,58,2.7,15.4,1,10.9,1128.6,902.4,18.2,3.1
CAI,8,10,2009,8.8,20.4,8.3,60,3,18.3,0.6,7.1,822,515,7.7,4.5
CAI,6,16,2010,10,16.7,7.7,53,8.4,16.4,1.1,16.8,733,478,4.6,7.4
CAI,4,19,2012,11.2,12,7.4,69,18.3,13.2,0.7,7.1,1438,1269,7.4,3.4
CAI,6,24,2013,9.44,19.3,7.4,51.5,3,16.3,0.87,13.1,814.7,504.6,9,1.5
CAM,3,27,2007,10.6,9.7,7.6,248,5.7,64.7,2.2,16.5,631.5,0.5,19.3,4.9
CAM,8,14,2007,7.4,21.3,8.3,268,45.3,74.6,18.6,12.1,1341.5,1.6,49.4,3.7
CAM,8,27,2008,10.7,20.2,9.2,275,87.9,88.5,25.4,16.9,1498.4,5,82.2,0.2
CAM,5,14,2009,9.7,17.6,8.1,244,10.3,74.1,4,11.6,944.2,3.1,25.4,4
CAM,8,24,2009,10.7,21.8,8.5,278,26.6,92.3,8.6,6.6,1198,-0.3,52.3,5.3
CAM,7,7,2010,7.4,20.5,8.1,258,7.5,83.3,3.8,-1.4,799,0.3,21.8,5.3
CAM,7,20,2011,6.8,20.7,7.8,254,9.8,74.1,2.2,16.8,650,6.2,20.4,5.6
CAM,7,24,2012,8.5,19.5,8.1,261,18.6,72,4.4,35.5,889,7.9,41.3,5.4
CAM,7,31,2013,8.76,21.3,8.3,266,27,89.4,5.18,2.6,970.4,6.2,35.8,1.6
